oscreader@OSC:project_2_part_2$ ps -eLf
UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1354  1087  1507  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1508  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1509  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1510  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1511  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1512  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1513  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1514  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1515  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1359     1  1359  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --display
oscread+  1366     1  1366  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --seamless
oscread+  1371  1087  1371  0    4 13:25 ?        00:00:00 zeitgeist-datahub
oscread+  1371  1087  1391  0    4 13:25 ?        00:00:00 zeitgeist-datahub
oscread+  1371  1087  1407  0    4 13:25 ?        00:00:00 zeitgeist-datahub
oscread+  1371  1087  1426  0    4 13:25 ?        00:00:00 zeitgeist-datahub
oscread+  1375     1  1375  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
oscread+  1377  1087  1377  0    4 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1377  1087  1416  0    4 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1377  1087  1419  0    4 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1377  1087  1421  0    4 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1388  1087  1388  0    3 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1388  1087  1414  0    3 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1388  1087  1534  0    3 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1393     1  1393  0    2 13:25 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1393     1  1396  0    2 13:25 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1394  1087  1394  0    2 13:25 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1394  1087  1449  0    2 13:25 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1399     1  1399  0    1 13:25 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
oscread+  1405     1  1405  0    2 13:25 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1405     1  1413  0    2 13:25 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1422  1405  1422  0    1 13:25 ?        00:00:00 /bin/cat
root      1424   477  1424  0    1 13:25 ?        00:00:00 sshd: oscreader [priv]
oscread+  1439     1  1439  0    6 13:25 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1439     1  1466  0    6 13:25 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1439     1  1467  0    6 13:25 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1439     1  1468  0    6 13:25 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1439     1  1469  0    6 13:25 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1439     1  1481  0    6 13:25 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1456     1  1456  0    6 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exe
oscread+  1456     1  1457  0    6 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exe
oscread+  1456     1  1458  0    6 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exe
oscread+  1456     1  1460  0    6 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exe
oscread+  1456     1  1463  0    6 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exe
oscread+  1456     1  1465  0    6 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exe
oscread+  1479     1  1479  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
oscread+  1479     1  1482  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
oscread+  1491     1  1491  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec
oscread+  1491     1  1492  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec
oscread+  1491     1  1494  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec
oscread+  1495  1424  1495  0    1 13:25 ?        00:00:00 sshd: oscreader@pts/0
oscread+  1496  1495  1496  0    1 13:25 pts/0    00:00:00 -bash
root     12138     2 12138  0    1 14:05 ?        00:00:00 [kworker/0:2]
root     13114     2 13114  0    1 14:11 ?        00:00:00 [kworker/0:0]
root     14089     2 14089  0    1 14:16 ?        00:00:00 [kworker/0:1]
oscread+ 15503  1135 15503  0    1 14:20 ?        00:00:00 /usr/bin/VBoxClient --checkhostversion
oscread+ 15529  1496 15529  0    1 14:20 pts/0    00:00:00 ps -eLf
oscreader@OSC:project_2_part_2$
